hotel,branch,year,quarter,title,value_or_%
Hotel Sogo,S02,2024,Q4,Actual Hours,157319
Hotel Sogo,S02,2024,Q4,Paid Hours,185029
Hotel Sogo,S02,2024,Q4,Room,20548326
Hotel Sogo,S02,2024,Q4,F&B - Rooms,2954556
Hotel Sogo,S02,2024,Q4,F&B - Function,-
Hotel Sogo,S02,2024,Q4,F&B - Outlet,-
Hotel Sogo,S02,2024,Q4,Total Sales,23502882
Hotel Sogo,S02,2024,Q4,Average DRS,684944
Hotel Sogo,S02,2024,Q4,Average DFS,98485
Hotel Sogo,S02,2024,Q4,ADS,255466
Hotel Sogo,S02,2024,Q4,Quarterly Weighted,29
Hotel Sogo,S03,2024,Q1,ANOR,84
Hotel Sogo,S03,2024,Q1,TNOG,17272
Hotel Sogo,S03,2024,Q1,ANOG,190
Hotel Sogo,S03,2024,Q1,TOR,2
Hotel Sogo,S03,2024,Q1,TFBOG,5957
Hotel Sogo,S03,2024,Q1,AFBOG,65
Hotel Sogo,S03,2024,Q1,%FBOG,0.34
Hotel Sogo,S03,2024,Q1,ARPS/G,771
Hotel Sogo,S03,2024,Q1,AFBPS/FBOG,297
Hotel Sogo,S03,2024,Q1,AFPS/G,102
Hotel Sogo,S03,2024,Q1,SPR,1973
Hotel Sogo,S03,2024,Q1,APS/G,873
Hotel Sogo,S03,2024,Q1,HPR,16
Hotel Sogo,S03,2024,Q1,ALOS,7
Hotel Sogo,S03,2024,Q1,Occupancy,0.68
Hotel Sogo,S03,2024,Q1,NOD,91
Hotel Sogo,S03,2024,Q1,Actual Hours,124948
Hotel Sogo,S03,2024,Q1,Paid Hours,139482
Hotel Sogo,S03,2024,Q1,Room,13314269
Hotel Sogo,S03,2024,Q1,F&B - Rooms,1767747
Hotel Sogo,S03,2024,Q1,F&B - Function,-
Hotel Sogo,S03,2024,Q1,F&B - Outlet,-
Hotel Sogo,S03,2024,Q1,Total Sales,15082016
Hotel Sogo,S03,2024,Q1,Average DRS,429493
Hotel Sogo,S03,2024,Q1,Average DFS,57024
Hotel Sogo,S03,2024,Q1,ADS,165736
Hotel Sogo,S03,2024,Q1,Quarterly Weighted,48
Hotel Sogo,S03,2024,Q2,ANOR,84
Hotel Sogo,S03,2024,Q2,TNOG,18977
Hotel Sogo,S03,2024,Q2,ANOG,209
Hotel Sogo,S03,2024,Q2,TOR,2
Hotel Sogo,S03,2024,Q2,TFBOG,6254
Hotel Sogo,S03,2024,Q2,AFBOG,69
Hotel Sogo,S03,2024,Q2,%FBOG,0.33
Hotel Sogo,S03,2024,Q2,ARPS/G,768
